43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-0.003807+4.567e-05i	3.717-3.07i	93.17+32.51i	90.02+34.58i
-0.004026+4.846e-05i	0.5826-0.8755i	0.4913-3.152i	2.001-7.182i
-0.004474-0.0001292i	0.8672-3.146i	73.55-106i	78.06-85.57i
-0.004476+0.000156i	4.959+17.21i	16.36+77.06i	9.946+57.74i
-0.004589+5.777e-05i	1.133+0.785i	177.1-31.06i	179.5-32.01i
-0.005378-5.269e-06i	1.222-1.741i	88.07-0.8847i	89.46-2.929i
-0.005115+3.957e-05i	0.09395-0.3512i	82.83+30i	83.08+25.76i
-0.0048+3.358e-05i	0.3599-5.006i	8.647-31.67i	7.839-26.9i
-0.004942+3.582e-05i	0.5041+0.2712i	0.4954-85.12i	2.296-87.13i
-0.004905+4.962e-06i	1.293-2.27i	89.72-7.598i	88.14-5.865i
-0.03729+4.425e-06i	0.5376+0.07684i	0.6763+7.963i	0.6923+7.681i
-0.03691+5.61e-05i	0.4983-0.2383i	68.85+81.81i	68.06+81.53i
-0.03683-5.335e-05i	0.7027+0.09688i	156.5-0.08254i	155.1-0.01976i
-0.03616+6.958e-06i	0.6664-0.1755i	90.32-2.045i	89.03+3.033i
-0.03591-3.346e-06i	174.5-22.48i	178.3+22.91i	0.03888-23.19i
-0.03575-1.053e-05i	7.233-23.62i	106.6-2.905i	90.06+40.4i
-0.03549+8.322e-06i	10.17-20.5i	27.45-13.56i	0.06076+34.26i
-0.03268-0.0001325i	37.69+0.2003i	44.17-12.46i	163.2+0.8936i
-0.03267+0.0001393i	177.9+30.64i	95.28-18.62i	90.95-12.21i
-0.03256+1.399e-06i	4.119-0.2223i	4.704-7.503i	0.103+5.061i
-0.03401-2.241e-05i	0.526-1.974i	159.7+76.18i	173.6-62.44i
-0.03392+2.488e-05i	26.07-11.69i	111.7-84.41i	83.73-72.48i
-0.03195+1.619e-05i	1.924-0.1931i	92.11+40.96i	89.94+39.99i
-0.03335+7.19e-06i	0.1918+1.441i	0.4847+9.315i	0.06321-8.752i
-0.03374-1.22e-06i	0.253-1.004i	88.61+39.63i	89.72+37.5i
-0.005671-8.498e-05i	0.9881-0.9759i	0.3218-27.84i	0.06557+24.86i
-0.005674+9.879e-05i	1.184-3.859i	96.86+0.734i	100.5+0.004828i
-0.005922+5.252e-05i	0.176+2.76i	92.89+20.6i	95.35+23.99i
-0.006424+4.791e-05i	2.49+1.042i	7.445+57.93i	8.376+51.74i
-0.006178+4.039e-05i	1.16+3.663i	86.81+20.15i	89.99+18.4i
-0.006467-1.153e-05i	1.895-5.47i	0.2579+18.17i	0.108+9.731i
-0.006984-0.0001808i	0.5874+6.117i	113.5-72.26i	129.4-75.5i
-0.007545+4.13e-05i	14.62-1.446i	87.5-5.738i	86.83-6.748i
-0.006985+0.0001889i	0.3834+0.06783i	98.35-39.07i	97.57-38.58i
-0.006865+6.419e-05i	1.481-0.5613i	98.2+0.6818i	98.1+0.007309i
-0.006806+4.581e-05i	0.6412+1.701i	71.28-6.766i	71.29-7.391i
-0.03058-1.555e-05i	0.04-0.7418i	0.1654-7.344i	0.102-6.677i
-0.007923+5.166e-05i	0.2024+0.3811i	89.69-3.377i	89.85-3.04i
-0.007974+4.104e-05i	0.05051+0.05018i	86.03+0.2949i	86.08+0.198i
-0.00871+0.0002574i	0.2242+0.4972i	78.85-0.4288i	77.22-0.04209i
-0.008579+4.732e-05i	0.3292+2.732i	178.9-3.237i	0.05834-3.822i
-0.008724-0.0002106i	179.2-4.329i	89.73+2.608i	90-7.059i
-0.03043-1.202e-05i	0.5768-0.1129i	90.2-0.2009i	89.91+0.5293i
-0.02955+1.188e-05i	0.4465+0.6189i	2.652-49.19i	3.811-58.96i
-0.009217+3.923e-05i	1.468-8.225i	177.9+57.37i	176.6+61.54i
-0.02846-6.11e-05i	0.1705-4.063i	90.04-0.986i	90+2.761i
-0.02765+7.941e-07i	0.1802-0.1137i	0.4462-26.06i	0.3483+22.8i
-0.02681+1.962e-05i	1.014-3.261i	89.15+28.03i	90.41+25.52i
-0.02412+6.67e-05i	0.4573-0.2085i	26.81+0.2503i	25.41+0.2188i
-0.02357+0.0002806i	0.6543-3.681i	1.021+24.3i	0.6869+25.72i
-0.02254+0.001177i	0.3005-2.249i	90.4+30.35i	90.72+28.75i
-0.02359-0.0002221i	0.03337-0.636i	0.9528+36.75i	0.01363+38.12i
-0.02247-0.001051i	2.335+0.5277i	89.43+82.41i	89.7+78.73i
-0.02001+0.001149i	0.4447-1.007i	1.666-77.09i	1.495-71.96i
-0.01994-0.001107i	0.1445+2.982i	85.52-76.46i	86.02-73.25i
-0.01732-0.0002397i	0.257+0.1943i	13.36+6.605i	13.35+6.328i
-0.01736+0.0002484i	0.01485+0.3808i	148.3-4.767i	148.6-4.631i
-0.01762+6.479e-06i	0.4013-0.1801i	14.54-4.942i	14.59-4.834i
-0.01901+0.0004332i	0.2339-0.0332i	89.95-67.65i	97.58-73.58i
-0.01865+2.088e-05i	8.074-5.512i	165.4+82i	157.7+87.57i
-0.01901-0.0003695i	0.4788-0.3029i	179.4+25.74i	179.2+26.06i
-0.02253+0.0002463i	0.1388-0.3945i	90.38+18.17i	89.99+19.65i
-0.02101-1.066e-07i	0.2457-1.112i	94.99-4.194i	115.7-0.2453i
-0.02144+0.0001221i	69.99-46.69i	108-60.88i	90.66+45.23i
-0.02138-0.000204i	52.7+59.43i	39.03-56.54i	107+3.33i
-0.02251-0.0002328i	18.08-0.2635i	5.101+0.8438i	41.06+0.4656i
-0.008703+1.524e-05i	17.88-0.1639i	96.46+5.244i	109+6.412i
-0.01278+0.001178i	4.679-1.603i	87.98+10.48i	89.82+6.217i
-0.01269-0.001113i	2.491+2.569i	86.95-8.583i	90.08-5.268i
-0.009928+0.0002297i	2.199+0.1159i	91.38-1.557i	90.12-2.839i
-0.009863-0.0002158i	1.029-0.887i	1.854+32.69i	0.1173+31.68i
-0.00961-7.632e-06i	1.973+1.301i	91.6+10.74i	90.21+5.688i
-0.01033+0.0002898i	0.2337-3.127i	3.917-69.45i	1.252+65.26i
-0.03028+1.19e-05i	4.759-7.255i	86.83+52.01i	91.21+45.03i
-0.03021+5.992e-06i	2.026-0.7172i	89.74-0.1511i	89.88-1.716i
-0.02915+1.553e-05i	0.7455+0.797i	0.2408-4.515i	0.3297+4.694i
-0.02845+5.775e-05i	0.9613+0.2192i	126.4+11.96i	127.3+11.7i
-0.01915+1.037e-05i	0.03245-0.3795i	97.91+0.06351i	97.95-0.001021i
-0.01984+5.676e-05i	0.2055+0.006778i	62.39+7.795i	61.23+7.368i
-0.02278+1.954e-05i	2.282-1.279i	84.2+98.19i	77.99+104.2i
-0.02567-0.0002019i	4.551-5.578i	4.578+119.1i	0.008391+124.6i
-0.02568+0.0002383i	0.3887+0.4264i	31.59-1.327i	30.14-1.23i
-0.02787-2.621e-06i	1.441+0.116i	0.5266+30.4i	0.07775+30.39i
-0.02927-4.777e-06i	0.2103+0.09428i	89.64+20.99i	90+21.06i
-0.02551+1.368e-05i	0.08424+0.2974i	88.66+44.36i	88.65+44.61i
-0.02623-6.093e-05i	0.4547+0.08189i	130.4-2.262i	131.1-2.164i
-0.02621+7.489e-05i	0.01407-0.166i	89.95+0.2177i	90-0.3251i
-0.02619+6.024e-06i	0.0125+0.7171i	89.56+1.9i	89.5+1.326i
-0.01617+7.908e-05i	0.04408-0.09507i	86.93+6.414i	86.83+6.982i
-0.01613-6.631e-05i	0.05244-0.4477i	35.52+1.39i	35.6+1.395i
-0.01528+1.514e-05i	0.02212-0.2599i	64.17-0.0362i	64.06-0.0002046i
-0.01481+1.545e-05i	0.00283+0.2009i	0.02311-43.38i	8.944e-05+43.23i
-0.0103-0.0002735i	0.02213-0.4377i	90.01-17.27i	90-16.82i
-0.01036+9.523e-06i	0.03805+0.0739i	154.8-39.44i	154-40.72i
-0.01415-2.246e-05i	1.067+0.7533i	54.73-2.17i	57.11-1.388i
-0.0108+2.999e-05i	1.51+0.0639i	68.21+93.56i	66.73+93.7i
-0.01371+1.832e-05i	0.002014+0.3342i	90.01-22.81i	90-23.19i
-0.01113-2.285e-06i	0.1447-0.1173i	0.04027+11.35i	8.293e-05+11.59i
-0.0112+2.968e-05i	0.06707+0.1559i	26.72+2.586i	26.47+0.001683i
-0.01164-0.0001036i	0.963-0.9268i	93.8-0.1304i	93.9-0.07824i
-0.01341+0.0002199i	0.004159-0.04085i	89.78-0.003466i	89.78-0.001916i
-0.0117+0.0001243i	0.0003541+0.04231i	90-0.1729i	90-0.1728i
-0.01336-0.0001666i	0.001559-0.04091i	90.31+0.0221i	90.31+0.02246i
-0.01173+4.565e-05i	0.1688+0.003134i	89.99+1.761i	89.99+1.753i
-0.01326+1.663e-05i	0.001169+0.1044i	90-1.749i	90-1.78i
-0.01256+2.877e-05i	0.0005566+0.1359i	89.25-4.566i	89.25-4.538i
-0.01272+7.777e-05i	0.1999+0.2358i	14.33+47.11i	14.65+47.1i
-0.01294-4.148e-05i	0.1076-0.2609i	91.33-4.898i	91.22-4.642i
-0.01496+1.554e-05i	0.04018-0.01508i	91.6+0.05729i	91.59+0.06239i
-0.01588+0.0001149i	0.003869-0.0158i	90.05-20.14i	90.05-20.17i
-0.01587-9.488e-05i	0.002252-0.1234i	89.13-98.87i	89.09-99.66i
-0.01591-4.572e-06i	0.03713+0.9056i	0	0
