43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-1.123+5.296e-06i	1.811-7.85i	92.02-4.281i	85.75+0.29i
-1.12-1.991e-06i	1.742-6.338i	136.4+84.77i	111.7+57.72i
-1.104-0.0001163i	21.43+17.85i	73.08-105.7i	153.9-105.6i
-1.094+5.74e-06i	63.36-31.04i	47.29+0.7329i	88.5-45.7i
-1.049-1.412e-06i	1.355+5.087i	25.89+5.53i	38.33+2.328i
-1.083+8.65e-07i	1.062-9.274i	123.6-5.238i	118.7+6.982i
-1.082-3.6e-05i	3.842+14.85i	21.91-22.47i	20.73-40.56i
-1.055+1.002e-06i	5.377+4.777i	155.2+18.29i	147.9+10.77i
-1.073+6.434e-07i	5.69+8.792i	116.2+20.05i	114.7+32.54i
-1.073-1.429e-06i	0.65-6.227i	142.3+15.05i	137.3+21.14i
-1.061-1.937e-05i	3.383-5.575i	4.168+14.1i	5.168+11.54i
-1.062+2.134e-07i	12.83+11.53i	120.6-19.94i	133.3-20.59i
-1.032+0.00774i	3.778+6.273i	43.13+86.11i	53.96+40.54i
-1.032-0.007725i	19.5-45.94i	120.1-34.64i	105.2-20.72i
-1.057+2.545e-05i	1.938-4.305i	154.6-3.207i	145.9-2.24i
-1.055-1.262e-07i	3.235+4.601i	111.2-6.859i	107-7.902i
-1.049+3.845e-08i	2.477+2.516i	83.99-6.188i	86.76-21.09i
-1.045-6.921e-10i	11.04-34.89i	115.8+34.47i	116.5+68.85i
-1.045-1.67e-08i	9.67+5.772i	132.5+25.47i	110.9+2.616i
-0.8799-0.001i	13.21+26.08i	91.87+42.15i	72.68-15.01i
-0.8719+1.919e-05i	159.1+4.167i	85.47+54.74i	112.5-39.78i
-0.843+7.031e-05i	33.33+3.011i	54.27-8.024i	84.91+2.904i
-0.8321-2.213e-05i	173.9-3.916i	51.54-30.8i	135.9+60.31i
-0.8295-0.0004597i	5.229-29.56i	2.318-29.61i	0.7653+56.85i
-0.8137+1.492e-07i	0.3834-6.13i	95.21+36.23i	88.13+13.08i
-0.8049-1.12e-05i	11.93+11.16i	129.3+21.63i	111.3+8.968i
-0.803+3.33e-07i	5.071-5.127i	173.3-10.13i	179.9+12.49i
-0.7714+7.952e-05i	3.496-3.499i	137.2-15.82i	41.73+13.8i
-0.7639+0.0001137i	168+11.71i	171-30.3i	4.318+24.48i
-0.7635-7.31e-06i	17.53-6.071i	19.07-12.9i	13.49-2.27i
-0.7563+1.155e-06i	3.389+0.6294i	28.36+2.849i	94.18-1.334i
-0.7556+1.731e-09i	127.9-6.569i	119.9-13.73i	3.427-23.19i
-0.6932+0.0007047i	6.587-16.01i	55.26+32.14i	91.71+32.59i
-0.7412-5.347e-06i	42.68+3.069i	39.58-34.16i	2.227-51.29i
-0.7391+1.554e-07i	8.573-5.744i	98.84-61.69i	94.09-55.44i
-0.7331+4.924e-07i	2.061+23.97i	87.92-30.91i	91.3+23.59i
-0.7331+1.057e-08i	168.8+0.04571i	29.52-24.09i	140.5+13.98i
-0.6608+4.199e-06i	1.658-9.709i	177.5-45.7i	178.6-23.97i
-0.606-0.0007762i	2.65+9.92i	91.47+34.14i	91.4+24.99i
-0.5965+3.818e-06i	1.187-13.74i	51.39+94.32i	92.83+80.46i
-0.5701+5.292e-05i	44.07-10.07i	123.4-21.76i	90.06-9.561i
-0.5498+1.632e-06i	3.026+26.78i	2.942+33.92i	10.09+22.77i
-0.5132-0.001163i	0.2675-22.31i	91.9+45.13i	88.09+60.98i
-0.5021+3.021e-06i	0.02468-4.761i	0.3578-24.01i	6.078+43.86i
-0.4723+9.559e-05i	1.815+13.39i	86.28+10.8i	92.08+21.03i
-0.4489-0.0008033i	8.093-2.405i	87.69+42.41i	158.5-126.2i
-0.4255-0.0002416i	113.5+96.08i	78.84-42.04i	27.81+139.9i
-0.4206+3.624e-06i	2.324-5.434i	0.858+8.201i	2.675+3.607i
-0.4081+1.014e-06i	2.2+5.653i	151.6+77.33i	175.1+50.86i
-0.3846+2.909e-05i	27.92-16.67i	34.18-66.87i	125.1+3.274i
-0.3578+6.624e-06i	176+18.35i	14.13+4.972i	173.6-13.56i
-0.3569-0.0003385i	2.877-2.005i	77.02-4.135i	93.5-39.02i
-0.3487+1.097e-05i	85.28-4.967i	84.58-4.097i	82.04-8.278i
-0.3423-0.0004908i	81.32-7.29i	94.48-4.862i	2.059+24.13i
-0.3305-0.000315i	3.296+0.05266i	97.39-9.299i	100.7-11.13i
-0.3117+8.655e-06i	0.1913-0.8892i	90.99+13.37i	90.26+17.63i
-0.3082+1.138e-05i	0.7512-5.083i	91.31-52.56i	90.57-52.26i
-0.3014-0.0001675i	0.1125-2.991i	35.52-40.54i	38.11-21.02i
-0.2828-0.0001134i	8.421-19.22i	19.92-12.2i	17.36-5.622i
-0.2826+3.412e-06i	4.119-12.07i	3.161+74.9i	6.957+62.16i
-0.2695+0.0003476i	2.238-1.829i	85.96-103.7i	93.63-96.87i
