43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
-0.17389+1.5616e-07i,-0.16336+0.0016728i,-0.17376+1.9251e-07i,-0.15411-0.0009026i,-0.17364+2.1932e-07i
-0.17382+1.3929e-07i,-0.16202-1.404e-06i,-0.00039054+6.9399e-07i,-0.15411+0.00090676i,-0.17357+1.3029e-07i
-0.12073-1.1154e-05i,-0.16178-1.1799e-05i,-0.00062496+1.3292e-06i,-0.15495+3.3048e-07i,-0.12075-1.1512e-05i
-0.12172+2.4671e-06i,-0.1603-9.7735e-06i,-0.0010234-2.6983e-06i,-0.15609+6.717e-06i,-0.12185+2.466e-06i
-0.12372+6.1738e-07i,-0.16005-1.47e-07i,-0.0010958+8.8829e-06i,-0.16326-0.0017448i,-0.12379+5.7597e-07i
-0.16028-9.5694e-06i,-0.15836-3.6773e-06i,-0.16009-2.8952e-07i,-0.15849-3.7318e-06i,-0.16035-1.0422e-05i
-0.16001-2.033e-09i,-0.15597+6.3678e-06i,-0.16032-9.9862e-06i,-0.16215+3.2761e-06i,-0.16016-5.7853e-07i
-0.1583-3.6316e-06i,-0.1468+1.9566e-06i,-0.15842-3.711e-06i,-0.16185-1.5634e-05i,-0.15856-3.7394e-06i
-0.1559+6.1778e-06i,-0.14437-1.5092e-06i,-0.15603+6.5477e-06i,-0.16012-4.3203e-07i,-0.15615+6.8754e-06i
-0.15478+3.0693e-07i,-0.14009+3.9187e-06i,-0.14676+1.958e-06i,-0.16034-1.0204e-05i,-0.155+3.386e-07i
-0.15395-0.00098433i,-0.15401+0.00096155i,-0.15489+3.2247e-07i,-0.1178+5.4054e-06i,-0.15416-0.0008747i
-0.15395+0.00098848i,-0.15484+3.146e-07i,-0.15406-0.00093016i,-0.12074-1.1429e-05i,-0.15416+0.00087886i
-0.14685+1.955e-06i,-0.13915-5.0183e-06i,-0.15406+0.00093432i,-0.14671+1.9595e-06i,-0.14666+1.9608e-06i
-0.15129+1.424e-06i,-0.15401-0.0009574i,-0.15137+1.4841e-06i,-0.15157+1.1784e-06i,-0.15144+1.4486e-06i
-0.1514+1.2558e-06i,-0.15133+1.4674e-06i,-0.15152+1.1938e-06i,-0.15247-8.8826e-05i,-0.15162+1.1702e-06i
-0.1524-8.9022e-05i,-0.15249+0.0001003i,-0.15245-9.1489e-05i,-0.15253+9.7627e-05i,-0.15249-8.3371e-05i
-0.15247+9.7802e-05i,-0.15146+1.2185e-06i,-0.15251+0.00010026i,-0.14434-1.5508e-06i,-0.15255+9.2211e-05i
-0.14438-1.4877e-06i,-0.13641-2.9191e-05i,-0.14435-1.5302e-06i,-0.12181+2.466e-06i,-0.14433-1.5709e-06i
-0.12681-5.4974e-07i,-0.15243-9.1533e-05i,-0.1267-3.6476e-07i,-0.12378+5.8589e-07i,-0.1266-2.0101e-07i
-0.12847-2.5194e-05i,-0.1375+9.7909e-06i,-0.12848-2.5302e-05i,-0.12665-2.8048e-07i,-0.12849-2.5387e-05i
-0.14004+3.9126e-06i,-0.0010223-2.5275e-06i,-0.14014+3.9239e-06i,-0.12848-2.5347e-05i,-0.14023+3.9317e-06i
-0.13915-4.8326e-06i,-0.1373-1.2372e-06i,-0.13915-5.1987e-06i,-0.14019+3.9281e-06i,-0.13914-5.5434e-06i
-0.13642-2.9383e-05i,-0.13351+2.2288e-05i,-0.13641-2.9003e-05i,-0.13914-5.3738e-06i,-0.13771+6.0205e-06i
-0.13739-0.0001115i,-0.13287+1.0707e-06i,-0.13759+7.1766e-06i,-0.1364-2.8818e-05i,-0.1364-2.8638e-05i
-0.1374+0.0001201i,-0.13265+2.7437e-06i,-0.13722+1.3351e-06i,-0.13765+6.4254e-06i,-0.13713+2.4114e-06i
-0.13349+2.1925e-05i,-0.12847-2.5251e-05i,-0.13353+2.2606e-05i,-0.13717+2.0457e-06i,-0.13357+2.3132e-05i
-0.13293+1.0471e-06i,-0.12676-4.5432e-07i,-0.13264+2.4724e-06i,-0.13355+2.2885e-05i,-0.13261+2.0324e-06i
-0.13267+3.0573e-06i,-0.12374+6.066e-07i,-0.13282+1.0932e-06i,-0.13262+2.237e-06i,-0.13271+1.1324e-06i
-0.11783+5.1497e-06i,-0.12175+2.4665e-06i,-0.12376+5.961e-07i,-0.13277+1.1139e-06i,-0.1178+5.4824e-06i
-0.11616-6.6884e-07i,-0.12074-1.1251e-05i,-0.12178+2.4661e-06i,-0.10758+8.8587e-06i,-0.1162-8.5319e-07i
-0.11458-7.2621e-06i,-0.1051-6.8603e-08i,-0.12074-1.1342e-05i,-0.11619-8.0845e-07i,-0.11466-6.9207e-06i
-0.1129+7.2129e-06i,-0.10623+4.1433e-06i,-0.11781+5.3243e-06i,-0.11299+9.0411e-06i,-0.11302+9.8885e-06i
-0.11355-1.8264e-05i,-0.10574+2.466e-05i,-0.11618-7.6278e-07i,-0.11464-6.9911e-06i,-0.11337+1.7546e-06i
-0.1134+4.4854e-06i,-0.10753+9.136e-06i,-0.11462-7.0707e-06i,-0.11338+2.6916e-06i,-0.11399+1.6494e-06i
-0.11391+2.6557e-06i,-0.11782+5.2391e-06i,-0.11395+2.0441e-06i,-0.11353-1.7594e-05i,-0.11352-1.7351e-05i
-0.10751+9.2763e-06i,-0.11617-7.1623e-07i,-0.11296+8.3368e-06i,-0.11397+1.8255e-06i,-0.1076+8.7222e-06i
-0.10017+1.4142e-06i,-0.1146-7.1606e-06i,-0.10756+8.9967e-06i,-0.097377+7.1459e-06i,-0.10619+4.1852e-06i
-0.10099+2.1767e-06i,-0.11293+7.7358e-06i,-0.10622+4.1558e-06i,-0.10025+1.1445e-06i,-0.10575+2.3994e-05i
-0.10065-1.765e-07i,-0.11393+2.316e-06i,-0.10574+2.4448e-05i,-0.10114+2.3425e-06i,-0.10515-8.9991e-08i
-0.10624+4.132e-06i,-0.11339+4.0304e-06i,-0.10512-7.541e-08i,-0.1007-1.76e-07i,-0.10446-4.1604e-06i
-0.10574+2.4862e-05i,-0.11354-1.8045e-05i,-0.10488-3.0563e-06i,-0.10621+4.1697e-06i,-0.10491-2.2839e-06i
-0.10448-3.9652e-06i,-0.09423+5.0131e-06i,-0.11353-1.7824e-05i,-0.10575+2.4226e-05i,-0.10028+1.0675e-06i
-0.10508-6.2252e-08i,-0.097306+7.1471e-06i,-0.10447-4.1054e-06i,-0.10446-4.1421e-06i,-0.10119+2.3863e-06i
-0.10486-3.8863e-06i,-0.1002+1.3178e-06i,-0.11339+3.4396e-06i,-0.10514-8.257e-08i,-0.10072-1.7583e-07i
-0.097271+7.1466e-06i,-0.10104+2.2378e-06i,-0.097342+7.1468e-06i,-0.10489-2.6637e-06i,-0.097412+7.1444e-06i
-0.085763+2.6114e-06i,-0.10067-1.7633e-07i,-0.10022+1.2279e-06i,-0.094306+3.4782e-06i,-0.094342+3.1197e-06i
-0.094188+7.1319e-06i,-0.10448-4.0475e-06i,-0.10109+2.293e-06i,-0.094099-9.3971e-06i,-0.094106-8.9214e-06i
-0.094085-1.3415e-05i,-0.10487-3.4632e-06i,-0.10069-1.7617e-07i,-0.085705+2.605e-06i,-0.092894-1.3286e-05i
-0.092848-1.3443e-05i,-0.081704+2.2669e-06i,-0.094269+4.0373e-06i,-0.092883-1.3322e-05i,-0.091004+3.7598e-06i
-0.087709+6.5035e-06i,-0.08249+1.2375e-05i,-0.094093-1.0076e-05i,-0.087699+6.235e-06i,-0.090815+1.1813e-05i
-0.091053+2.0997e-06i,-0.083159-1.0592e-06i,-0.092872-1.336e-05i,-0.09101+3.6129e-06i,-0.090621-5.4471e-07i
-0.090905+1.505e-05i,-0.094088-1.1173e-05i,-0.091018+3.2202e-06i,-0.090822+1.3579e-05i,-0.088965+3.4324e-06i
-0.09064-8.7369e-07i,-0.09286-1.34e-05i,-0.090843+1.4506e-05i,-0.090646-1.8642e-06i,-0.089295+2.2527e-06i
-0.088869+3.3998e-06i,-0.085743+2.6093e-06i,-0.090655-2.0904e-06i,-0.088942+3.4341e-06i,-0.089834+1.3417e-06i
-0.08983-7.3835e-08i,-0.087706+6.4082e-06i,-0.088918+3.4295e-06i,-0.089287+2.2816e-06i,-0.087694+6.1565e-06i
-0.089264+2.3777e-06i,-0.091031+2.6172e-06i,-0.089279+2.3121e-06i,-0.089833+9.9358e-07i,-0.085687+2.603e-06i
-0.083151-8.8745e-07i,-0.090875+1.4863e-05i,-0.089832+6.4113e-07i,-0.083175-1.3923e-06i,-0.083183-1.5534e-06i
-0.082492+1.2264e-05i,-0.090651-1.5279e-06i,-0.087703+6.3188e-06i,-0.082487+1.2586e-05i,-0.082486+1.2684e-05i
-0.081727+2.237e-06i,-0.088894+3.4182e-06i,-0.085724+2.6071e-06i,-0.081657+2.3218e-06i,-0.081634+2.3467e-06i
-0.079429+2.2565e-06i,-0.089272+2.3441e-06i,-0.083167-1.2275e-06i,-0.079369+2.2307e-06i,-0.079349+2.2233e-06i
-0.078466+6.3639e-06i,-0.089831+2.8506e-07i,-0.082489+1.2483e-05i,-0.078554+6.8842e-06i,-0.078584+7.0557e-06i
-0.077895+0.00019887i,-0.07941+2.2473e-06i,-0.08168+2.2952e-06i,-0.077953+0.00019822i,-0.077971+0.00019607i
-0.077895-0.00017585i,-0.078494+6.5374e-06i,-0.074776+9.5804e-06i,-0.077954-0.00017601i,-0.077972-0.00017412i
-0.075785+8.0662e-06i,-0.077915+0.00019975i,-0.07582+8.0534e-06i,-0.075839+8.0461e-06i,-0.075857+8.0383e-06i
-0.074752+9.6163e-06i,-0.077915-0.000177i,-0.07939+2.2387e-06i,-0.074788+9.5627e-06i,-0.074799+9.5454e-06i
-0.07366-3.277e-06i,-0.075802+8.0601e-06i,-0.077934+0.00019949i,-0.073635-3.1915e-06i,-0.07329+3.4092e-06i
-0.07325+3.3018e-06i,-0.074764+9.5983e-06i,-0.077935-0.00017701i,-0.07328+3.3876e-06i,-0.073628-3.1571e-06i
-0.069197+3.8352e-05i,-0.073651-3.2506e-06i,-0.078524+6.7111e-06i,-0.072462+2.0723e-06i,-0.072454+2.0644e-06i
-0.072482+2.1031e-06i,-0.07326+3.3328e-06i,-0.073643-3.2223e-06i,-0.071761+2.4716e-06i,-0.07175+2.1359e-06i
-0.071801+3.1708e-06i,-0.067825-8.4159e-06i,-0.07327+3.3617e-06i,-0.071604+3.7888e-06i,-0.071613+4.1059e-06i
-0.071576+3.1347e-06i,-0.072476+2.0915e-06i,-0.072469+2.0812e-06i,-0.069232+3.7594e-05i,-0.070438+1.1031e-05i
-0.069654-4.8416e-06i,-0.071786+2.9812e-06i,-0.071773+2.7514e-06i,-0.069703-4.5349e-06i,-0.070228+1.6055e-06i
-0.070365+8.8005e-07i,-0.071585+3.3116e-06i,-0.071595+3.5262e-06i,-0.070263+1.5958e-06i,-0.069719-4.386e-06i
-0.070425+1.1831e-05i,-0.069209+3.8111e-05i,-0.070432+1.1168e-05i,-0.070435+1.1084e-05i,-0.069243+3.7323e-05i
-0.0010212-2.3795e-06i,-0.06967-4.7612e-06i,-0.070297+1.5363e-06i,-0.00062142+1.292e-06i,-0.067796-8.0832e-06i
-0.067834-8.536e-06i,-0.070331+1.3779e-06i,-0.069686-4.6594e-06i,-0.067806-8.1885e-06i,-0.067125+5.1114e-06i
-0.067007+5.1013e-06i,-0.070429+1.1336e-05i,-0.06922+3.7857e-05i,-0.058789+8.6418e-07i,-0.066233-5.0512e-06i
-0.058408-8.8432e-07i,-0.067036+5.0983e-06i,-0.067815-8.2997e-06i,-0.059073+1.5142e-05i,-0.066127+8.6969e-06i
-0.058833+8.0959e-07i,-0.066282-9.3149e-07i,-0.067066+5.0986e-06i,-0.067096+5.1028e-06i,-0.065765-8.2808e-07i
-0.059102+1.4192e-05i,-0.066085+4.0595e-06i,-0.066268-1.6462e-06i,-0.060428+6.109e-06i,-0.065254+3.8089e-05i
-0.066295-4.2505e-07i,-0.065735-1.0687e-06i,-0.066095+4.9201e-06i,-0.060768-1.2085e-06i,-0.062963-0.00054921i
-0.066077+3.4358e-06i,-0.058388-8.1962e-07i,-0.064689-2.5854e-06i,-0.066252-2.778e-06i,-0.06501+1.0801e-05i
-0.060519+6.3914e-06i,-0.065245+3.9428e-05i,-0.06525+3.879e-05i,-0.066109+6.2252e-06i,-0.062963+0.00056987i
-0.060806-1.5453e-06i,-0.058819+8.2636e-07i,-0.065047+8.0422e-06i,-0.065755-8.9562e-07i,-0.064771-5.1377e-06i
-0.065724-1.1761e-06i,-0.065065+6.989e-06i,-0.065745-9.755e-07i,-0.062173-4.248e-06i,-0.063582-1.0716e-06i
-0.06524+4.0337e-05i,-0.059092+1.4507e-05i,-0.05628+0.00046161i,-0.062946-0.0005605i,-0.064028+9.0805e-07i
-0.065083+5.8631e-06i,-0.06465-1.9324e-06i,-0.056272-0.00041761i,-0.062438+9.5368e-06i,-0.063922+5.5115e-06i
-0.064611-1.4844e-06i,-0.060488+6.2701e-06i,-0.056906-0.00088353i,-0.062946+0.00058103i,-0.062159-4.3e-06i
-0.062892-0.00059255i,-0.060794-1.4058e-06i,-0.056983+0.0010101i,-0.065253+3.8352e-05i,-0.062434+9.4341e-06i
-0.063982+7.9585e-07i,-0.063993+8.2005e-07i,-0.057217+2.116e-05i,-0.065029+9.2167e-06i,-0.060753-1.1357e-06i
-0.063856+5.6799e-06i,-0.063872+5.6196e-06i,-0.058368-7.4742e-07i,-0.064729-3.5664e-06i,-0.060401+6.054e-06i
-0.063602-8.8471e-07i,-0.063597-9.0556e-07i,-0.058804+8.4458e-07i,-0.063588-9.9878e-07i,-0.059064+1.5459e-05i
-0.062891+0.00061273i,-0.062911-0.00058219i,-0.059082+1.4824e-05i,-0.064016+8.7612e-07i,-0.058774+8.8507e-07i
-0.062212-3.9289e-06i,-0.06291+0.00060249i,-0.060457+6.179e-06i,-0.063905+5.5365e-06i,-0.058329-5.8074e-07i
-0.062454+9.6908e-06i,-0.0622-4.0665e-06i,-0.060781-1.2966e-06i,-0.058349-6.6776e-07i,-0.056991+0.0010404i
-0.00039623+6.9611e-07i,-0.062448+9.6702e-06i,-0.062929-0.0005715i,-0.056987+0.0010255i,-0.056911-0.00091207i
-0.0012947+3.739e-06i,-0.0012985+3.5414e-06i,-0.064004+8.468e-07i,-0.056909-0.00089805i,-0.057237+2.0456e-05i
-0.056975+0.00097784i,-0.056979+0.00099424i,-0.063888+5.5722e-06i,-0.057227+2.0813e-05i,-0.056267+0.00045672i
-0.0569-0.00085306i,-0.056903-0.00086854i,-0.063593-9.4356e-07i,-0.056274+0.00045943i,-0.056261-0.00041498i
-0.057194+2.1818e-05i,-0.057206+2.1495e-05i,-0.062928+0.00059191i,-0.056266-0.00041657i,-0.055621+1.374e-06i
-0.056294+0.00046441i,-0.056287+0.00046326i,-0.062187-4.1716e-06i,-0.055626+1.1987e-06i,-0.053986+4.5446e-05i
-0.056283-0.00041811i,-0.056277-0.00041812i,-0.062443+9.6172e-06i,-0.053948+4.5221e-05i,-0.052217-2.1714e-05i
-0.05564+6.5744e-07i,-0.055635+8.4e-07i,-0.055631+1.0205e-06i,-0.052204-2.1609e-05i,-0.051224-4.1884e-06i
-0.053831+4.4629e-05i,-0.05387+4.4813e-05i,-0.053909+4.501e-05i,-0.05122-4.163e-06i,-0.050031-2.2512e-05i
-0.052165-2.1311e-05i,-0.052178-2.1407e-05i,-0.052191-2.1507e-05i,-0.049722+0.00055888i,-0.049696-0.00056952i
-0.051208-4.0698e-06i,-0.051212-4.104e-06i,-0.051216-4.135e-06i,-0.050008-2.2248e-05i,-0.049725+0.00055514i
-0.049712+0.00056854i,-0.049715+0.0005656i,-0.048121+2.1587e-05i,-0.049693-0.0005736i,-0.049516-9.081e-05i
-0.049683-0.00058439i,-0.049686-0.00058106i,-0.049718+0.00056237i,-0.049513-9.3684e-05i,-0.049514+9.4684e-05i
-0.049938-2.1178e-05i,-0.049962-2.1587e-05i,-0.049689-0.00057746i,-0.049275+6.2116e-07i,-0.049272+8.3294e-07i
-0.049282+8.0036e-08i,-0.04928+2.3967e-07i,-0.049985-2.1941e-05i,-0.049511+9.7756e-05i,-0.048143+2.0959e-05i
-0.049504+0.0001074i,-0.049506+0.00010412i,-0.049511-9.6672e-05i,-0.048132+2.1269e-05i,-0.047182+2.3001e-06i
-0.049507-0.00010302i,-0.049509-9.9781e-05i,-0.049277+4.2177e-07i,-0.047178+2.3247e-06i,-0.046324-1.6766e-05i
-0.048098+2.2246e-05i,-0.048109+2.1913e-05i,-0.049508+0.0001009i,-0.046326-1.701e-05i,-0.044461-6.8452e-06i
-0.047163+2.4125e-06i,-0.047168+2.3809e-06i,-0.047173+2.3516e-06i,-0.045258-2.3185e-06i,-0.04526-2.4125e-06i
-0.046332-1.7805e-05i,-0.04633-1.7529e-05i,-0.046328-1.7264e-05i,-0.045079+7.7035e-06i,-0.045091+7.9153e-06i
-0.045254-2.1629e-06i,-0.045256-2.1993e-06i,-0.045257-2.2497e-06i,-0.044467-6.7629e-06i,-0.0010257-3.1269e-06i
-0.045055+7.1364e-06i,-0.045061+7.3188e-06i,-0.045069+7.5067e-06i,-0.043927+4.5446e-06i,-0.0010925+9.6925e-06i
-0.044486-6.4986e-06i,-0.04448-6.5897e-06i,-0.044474-6.6777e-06i,-0.0013071+3.1934e-06i,-0.0013116+3.0426e-06i
-0.043925+4.7945e-06i,-0.043927+4.7068e-06i,-0.043927+4.6231e-06i,-0.0010943+9.2797e-06i,-0.0016063+4.13e-06i
-0.0015878+4.145e-06i,-0.0015925+4.1416e-06i,-0.0015972+4.1379e-06i,-0.0016018+4.1341e-06i,-0.0020305+1.3784e-05i
-0.0020197+1.3112e-05i,-0.0020225+1.3285e-05i,-0.0020253+1.3454e-05i,-0.0023083+2.6463e-05i,-0.0021678-4.6224e-06i
-0.0021763-4.1377e-06i,-0.002174-4.2581e-06i,-0.0021719-4.379e-06i,-0.002028+1.3621e-05i,-0.0023079+2.6606e-05i
-0.002708+5.1141e-05i,-0.002309+2.6173e-05i,-0.0023087+2.6319e-05i,-0.0021698-4.5005e-06i,-0.0027303+5.14e-05i
-0.0023092+2.6027e-05i,-0.0027134+5.1191e-05i,-0.002719+5.1251e-05i,-0.0030568-9.1226e-06i,-0.0029329-9.3618e-05i
-0.003372+7.5632e-06i,-0.0033566+9.7877e-06i,-0.0029588+9.7011e-05i,-0.0027246+5.1321e-05i,-0.0030638-8.7778e-06i
-0.0029516-8.7086e-05i,-0.0029468-8.9122e-05i,-0.0028686+6.3692e-05i,-0.0029375-9.2362e-05i,-0.0028619+6.3389e-05i
-0.0028755+6.4017e-05i,-0.002872+6.385e-05i,-0.0029421-9.0872e-05i,-0.0028652+6.3539e-05i,-0.0029448+9.8788e-05i
-0.0029732+9.448e-05i,-0.0029659+9.5849e-05i,-0.0030497-9.5434e-06i,-0.0029517+9.7985e-05i,-0.043926+4.4722e-06i
-0.0030354-1.0666e-05i,-0.0030426-1.0054e-05i,-0.0033379+1.1194e-05i,-0.04299+5.245e-06i,-0.043015+5.2388e-06i
-0.0033206+4.3143e-05i,-0.0033275+4.0777e-05i,-0.0033377+3.9225e-05i,-0.042259-3.4326e-06i,-0.042261-3.2897e-06i
-0.042908+5.2785e-06i,-0.042936+5.2648e-06i,-0.042963+5.2536e-06i,-0.041795+2.5533e-05i,-0.04171-1.8776e-05i
-0.042253-3.9029e-06i,-0.042255-3.7394e-06i,-0.042257-3.5826e-06i,-0.041705-2.1057e-05i,-0.041816+2.2834e-05i
-0.041731+4.1926e-05i,-0.041752+3.5164e-05i,-0.041773+2.953e-05i,-0.041+1.1039e-05i,-0.041035+1.1042e-05i
-0.041686-3.6119e-05i,-0.041694-2.9814e-05i,-0.0417-2.4623e-05i,-0.040023+6.9378e-06i,-0.040023+6.7644e-06i
-0.04089+1.105e-05i,-0.040927+1.1044e-05i,-0.040964+1.104e-05i,-0.038906+0.001035i,-0.038904+0.0010499i
-0.040026+7.5132e-06i,-0.040024+7.3126e-06i,-0.040023+7.1206e-06i,-0.038841-0.00096197i,-0.038838-0.00097609i
-0.038915+0.00098742i,-0.038912+0.0010038i,-0.038909+0.0010196i,-0.038952-3.3779e-07i,-0.038949-3.9621e-07i
-0.038852-0.00091687i,-0.038848-0.00093237i,-0.038845-0.0009474i,-0.03882+3.4956e-06i,-0.0033086+5.0024e-06i
-0.038286+1.1e-05i,-0.0035814+3.5067e-05i,-0.038954-2.8325e-07i,-0.0035837+3.4999e-05i,-0.0033501+4.5119e-05i
-0.038959-1.8378e-07i,-0.0038077+4.5458e-05i,-0.038825+3.1904e-06i,-0.0033216+7.3968e-06i,-0.0035851+3.5005e-05i
-0.038565-3.1281e-06i,-0.0040299+4.8781e-05i,-0.038563-2.7817e-06i,-0.0033455+4.2875e-05i,-0.0038088+4.4803e-05i
-0.038835+2.6607e-06i,-0.0045913+5.7718e-05i,-0.0035825+3.5019e-05i,-0.0038084+4.5022e-05i,-0.0040404+4.97e-05i
-0.0035804+3.5143e-05i,-0.0044703-0.0001298i,-0.003808+4.5241e-05i,-0.0040369+4.94e-05i,-0.0044582-0.00012951i
-0.0038074+4.5674e-05i,-0.0044723+0.00015664i,-0.0040334+4.9093e-05i,-0.0044622-0.00012991i,-0.0044629+0.00015679i
-0.0040263+4.8461e-05i,-0.0051073+3.9991e-05i,-0.004594+5.7625e-05i,-0.004466+0.00015702i,-0.0045993+5.732e-05i
-0.0044744-0.00012924i,-0.0048025+3.4524e-05i,-0.0044662-0.00013002i,-0.0045966+5.7491e-05i,-0.0047989+3.7921e-05i
-0.0044756+0.00015597i,-0.0049361+3.4876e-05i,-0.0044691+0.00015698i,-0.0048019+3.6797e-05i,-0.038817+3.8301e-06i
-0.0045885+5.7767e-05i,-0.0049177+4.8792e-06i,-0.0051006+4.038e-05i,-0.038562-2.6099e-06i,-0.03856-2.439e-06i
-0.0053782-5.2693e-06i,-0.038956-2.3204e-07i,-0.0048032+3.5629e-05i,-0.038309+1.0364e-05i,-0.038317+1.0082e-05i
-0.0051145+3.9566e-05i,-0.03883+2.9128e-06i,-0.004932+3.4141e-05i,-0.03734+4.5696e-06i,-0.037355+4.5651e-06i
-0.0047998+3.3575e-05i,-0.038564-2.9543e-06i,-0.0049299+4.4598e-06i,-0.036874+0.00015961i,-0.03687+0.0001791i
-0.0049424+3.5825e-05i,-0.038293+1.0822e-05i,-0.038301+1.061e-05i,-0.036848-0.0001582i,-0.036847-0.00017805i
-0.0049049+4.9619e-06i,-0.03731+4.5079e-06i,-0.037326+4.5528e-06i,-0.036197+7.1773e-06i,-0.036209+7.2411e-06i
-0.037295+4.4245e-06i,-0.036886+0.00010297i,-0.0053785-5.2029e-06i,-0.035489+7.892e-06i,-0.035941-3.4315e-06i
-0.036907+5.6104e-05i,-0.036844-0.00010071i,-0.0056859-8.3401e-05i,-0.035751-1.0408e-05i,-0.035753-1.0359e-05i
-0.036828-5.3351e-05i,-0.036173+7.0354e-06i,-0.0056936+9.6861e-05i,-0.035934-3.4119e-06i,-0.035488+7.7637e-06i
-0.03616+6.9577e-06i,-0.035921-3.369e-06i,-0.0059085+5.2962e-05i,-0.03407-1.1206e-05i,-0.034084-1.049e-05i
-0.035914-3.3456e-06i,-0.035488+8.1724e-06i,-0.0061767+4.0091e-05i,-0.032709-0.00010286i,-0.032726-9.6829e-05i
-0.035746-1.0531e-05i,-0.035748-1.0496e-05i,-0.0069785-0.00015726i,-0.032703+0.00010732i,-0.032721+0.00010119i
-0.035486+8.3222e-06i,-0.034037-1.4989e-05i,-0.0064365+4.7619e-05i,-0.032521+4.9402e-06i,-0.032494+5.366e-06i
-0.032676-0.00013247i,-0.03338+7.2178e-06i,-0.0064908-1.1979e-05i,-0.031833+1.5688e-05i,-0.0056995-7.8325e-05i
-0.032668+0.00013928i,-0.032682-0.00012174i,-0.0069815+0.0001649i,-0.033428+7.4126e-06i,-0.0050892+4.0945e-05i
-0.03256+1.3992e-06i,-0.032674+0.00012777i,-0.0068569+6.7275e-05i,-0.033727-2.4401e-07i,-0.0049301+3.1444e-05i
-0.034015-2.2411e-05i,-0.032557+2.6145e-06i,-0.0075746+4.1883e-05i,-0.0050945+4.071e-05i,-0.0053788-5.2236e-06i
-0.033921+2.4876e-05i,-0.03191+1.5982e-05i,-0.036879+0.00013528i,-0.0049303+3.3032e-05i,-0.0049521+4.9685e-06i
-0.031951+1.6188e-05i,-0.0053784-5.2225e-06i,-0.036848-0.00013347i,-0.0049412+4.4067e-06i,-0.0057123+9.1606e-05i
-0.033353+7.1905e-06i,-0.0061771+4.0247e-05i,-0.036185+7.1087e-06i,-0.0053787-5.2047e-06i,-0.0069785-0.00013195i
-0.033744-1.2199e-06i,-0.0056788-8.4632e-05i,-0.035928-3.391e-06i,-0.0056929-8.1301e-05i,-0.0058951+5.3417e-05i
-0.0056714-8.4979e-05i,-0.0056841+9.824e-05i,-0.035749-1.0454e-05i,-0.005703+9.4654e-05i,-0.006176+3.9744e-05i
-0.0056744+9.8788e-05i,-0.006479-1.1775e-05i,-0.035489+8.0285e-06i,-0.0059017+5.3187e-05i,-0.006514-1.2325e-05i
-0.0059223+5.2519e-05i,-0.0059153+5.274e-05i,-0.034055-1.2447e-05i,-0.0061764+3.9923e-05i,-0.0064477+4.714e-05i
-0.0064243+4.7909e-05i,-0.0064305+4.7795e-05i,-0.032693-0.00011127i,-0.0064422+4.7397e-05i,-0.0069846+0.00014167i
-0.0061775+4.0393e-05i,-0.0069827+0.00017706i,-0.032686+0.00011632i,-0.0065025-1.2159e-05i,-0.0068461+7.1537e-05i
-0.0064669-1.1531e-05i,-0.0069808-0.00016934i,-0.032543+3.9916e-06i,-0.0069777-0.00014469i,-0.031797+1.5582e-05i
-0.0069842-0.0001808i,-0.0068616+6.5435e-05i,-0.031871+1.5818e-05i,-0.0069822+0.00015291i,-0.033447+7.6036e-06i
-0.0075451+4.1296e-05i,-0.0075602+4.1573e-05i,-0.033405+7.288e-06i,-0.0068513+6.9575e-05i,-0.033721+1.7461e-07i
-0.0069854+0.00018892i,-0.033884+1.6899e-05i,-0.033733-6.2486e-07i,-0.033828+1.1712e-05i,-0.033807+1.0138e-05i
-0.0068648+6.4192e-05i,-0.033739-9.4819e-07i,-0.033854+1.371e-05i,-0.030487-1.4294e-05i,-0.0068098+3.6543e-05i
-0.0068062+4.5806e-05i,-0.030585-1.3482e-05i,-0.030473-1.2743e-05i,-0.0306-8.7312e-06i,-0.0076014+4.2612e-05i
-0.030579-1.555e-05i,-0.030454-1.1787e-05i,-0.0068123+4.3001e-05i,-0.030312+3.1376e-06i,-0.0079004+5.0256e-05i
-0.0079228+5.1665e-05i,-0.0068098+4.486e-05i,-0.0079119+5.0938e-05i,-0.0075884+4.2228e-05i,-0.0080146+3.9886e-05i
-0.0079742+4.1045e-05i,-0.0079176+5.1306e-05i,-0.0079937+4.0564e-05i,-0.0068128+4.0049e-05i,-0.0087339-0.00019019i
-0.0087096+0.00025741i,-0.0079836+4.0817e-05i,-0.030293+3.9263e-06i,-0.0079061+5.0593e-05i,-0.008719+0.00022395i
-0.0085789+4.7324e-05i,-0.0087122+0.00024949i,-0.0087147+0.0002413i,-0.0080041+4.0251e-05i,-0.0086131+5.2349e-05i
-0.0087239-0.00021056i,-0.0087266-0.00020539i,-0.0087292-0.00020025i,-0.0087317-0.00019518i,-0.030498-1.6003e-05i
-0.030432-1.2021e-05i,-0.0085874+4.9239e-05i,-0.0085959+5.0913e-05i,-0.0087169+0.00023281i,-0.030332+2.9483e-06i
-0.02955+1.188e-05i,-0.029571+1.1781e-05i,-0.029592+1.1673e-05i,-0.0086044+5.2103e-05i,-0.029634+1.1466e-05i
-0.0092167+3.9234e-05i,-0.0092166+3.9389e-05i,-0.0092167+3.9552e-05i,-0.029613+1.1566e-05i,-0.028407+5.5391e-05i
